bybit_symbol,binance_symbol,name,multiplier,tickSize,minOrderQty,qtyStep
0GUSDT,0GUSDT,0G,1,0.0001,0.1,0.1
1000000MOGUSDT,1000000MOGUSDT,MOG,1,0.0001,1.0,1.0
1000BONKUSDT,1000BONKUSDT, BONK,1,1e-06,100.0,100.0
1000CATUSDT,1000CATUSDT,1000CAT,1,1e-06,1.0,1.0
1000000CHEEMSUSDT, 1000CHEEMSUSDT, CHEEMS,1000,0.0001,1.0,1.0
1000FLOKIUSDT,1000FLOKIUSDT,1000FLOKI,1,1e-05,1.0,1.0
1000LUNCUSDT,1000LUNCUSDT,1000LUNC,1,1e-05,1.0,1.0
1000NEIROCTOUSDT, NEIROUSDT, NEIRO,1000,1e-05,1.0,1.0
1000PEPEUSDT,1000PEPEUSDT,1000PEPE,1,1e-06,100.0,100.0
1000RATSUSDT,1000RATSUSDT, RATS,1,1e-05,10.0,10.0
1000TAGUSDT, TAGUSDT, TAG,1000,0.0001,1.0,1.0
1000TOSHIUSDT, TOSHIUSDT, TOSHI,1000,0.0001,1.0,1.0
1000TURBOUSDT, TURBOUSDT, TURBO,1000,0.0001,1.0,1.0
10000SATSUSDT, 1000SATSUSDT, SATS,10,1e-07,100.0,100.0
SHIB1000USDT, 1000SHIBUSDT, SHIB,1,1e-06,10.0,10.0
1000XECUSDT,1000XECUSDT,1000XEC,1,1e-06,10.0,10.0
1INCHUSDT,1INCHUSDT,1INCH,1,1e-05,0.1,0.1
1000000BABYDOGEUSDT, 1MBABYDOGEUSDT, BABYDOGE,1,1e-07,100.0,100.0
2ZUSDT,2ZUSDT,2Z,1,1e-05,1.0,1.0
4USDT,4USDT,4,1,1e-05,1.0,1.0
A2ZUSDT,A2ZUSDT,A2Z,1,1e-07,100.0,100.0
AAVEUSDT,AAVEUSDT,AAVE,1,0.01,0.01,0.01
ACEUSDT,ACEUSDT,ACE,1,0.0001,0.1,0.1
ACHUSDT,ACHUSDT,ACH,1,1e-06,10.0,10.0
ACTUSDT,ACTUSDT,ACT,1,1e-05,1.0,1.0
ACXUSDT,ACXUSDT,ACX,1,1e-05,1.0,1.0
ADAUSDT,ADAUSDT,ADA,1,0.0001,1.0,1.0
AERGOUSDT,AERGOUSDT,AERGO,1,1e-05,1.0,1.0
AEROUSDT,AEROUSDT,AERO,1,0.0001,1.0,1.0
